codice_esterno,0,1,2,3,4,5,6,7,8,9,10,11,giorno_uscita,colore,cat_merc
8830PENE-19,1.0,14.0,7.0,0.0,6.0,14.0,6.0,4.0,9.0,114.0,66.0,26.0,2018-12-15,nero,capospalla  medio
8834NE-18,6.0,5.0,8.0,7.0,3.0,1.0,23.0,1.0,71.0,7.0,0.0,0.0,2018-09-25,nero,tubino
883586NE-17,1.0,0.0,1.0,4.0,8.0,7.0,4.0,3.0,2.0,1.0,0.0,1.0,2017-02-23,nero,tubino
8839PNE-19,4.0,13.0,13.0,9.0,8.0,14.0,12.0,7.0,8.0,11.0,5.0,0.0,2019-03-14,nero,manica lunga
8839PRS-19,5.0,25.0,20.0,13.0,25.0,19.0,26.0,17.0,16.0,8.0,4.0,5.0,2019-03-11,rosa,manica lunga
8852PENE-19,1.0,23.0,23.0,11.0,7.0,8.0,9.0,0.0,8.0,13.0,14.0,5.0,2018-12-09,nero,tubino
8852PERO-19,6.0,40.0,45.0,16.0,4.0,7.0,7.0,11.0,8.0,15.0,11.0,10.0,2018-12-08,rosso,tubino
886302D14BI-17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2017-03-25,bianco,smanicato
886302D14NE-17,1.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2017-04-01,nero,smanicato
886586NE-17,2.0,0.0,1.0,0.0,16.0,18.0,20.0,30.0,10.0,8.0,8.0,6.0,2017-02-17,nero,manica lunga
8867AINE-19,5.0,13.0,13.0,26.0,13.0,30.0,17.0,19.0,18.0,91.0,0.0,0.0,2019-09-28,nero,lungo
890575516SE-17,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-11-24,senape,manica lunga
890575516VM-17,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-11-24,verde militare,manica lunga
89926NE-17,1.0,3.0,21.0,20.0,21.0,12.0,9.0,4.0,1.0,62.0,2.0,0.0,2017-09-23,nero,manica lunga
89928NE-17,2.0,12.0,8.0,8.0,11.0,7.0,8.0,5.0,11.0,1.0,0.0,0.0,2017-09-27,nero,manica lunga
9020BI-19,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-04-29,bianco,pantalone lungo
9020NE-19,2.0,12.0,4.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-05-02,nero,pantalone lungo
9020VM-19,2.0,2.0,3.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-04-26,verde militare,pantalone lungo
902201PRS-17,2.0,11.0,15.0,6.0,6.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,2017-09-02,rosa,manica lunga
9024NE-19,2.0,0.0,0.0,0.0,1.0,20.0,13.0,12.0,9.0,13.0,22.0,19.0,2019-01-27,nero,pantalone lungo
90307AFABI-19,8.0,30.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-05-17,fantasia,lungo
90307RO-19,13.0,18.0,14.0,23.0,22.0,25.0,7.0,0.0,0.0,0.0,0.0,0.0,2019-04-18,rosso,lungo
90310CFANE-19,10.0,10.0,13.0,7.0,15.0,11.0,13.0,6.0,2.0,0.0,0.0,0.0,2019-04-02,fantasia,manica corta
90310DST01FANE-19,7.0,5.0,8.0,8.0,6.0,2.0,7.0,0.0,2.0,1.0,0.0,0.0,2019-08-13,fantasia,smanicato
90318BI-19,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-05-23,bianco,lungo
90326BI-19,3.0,2.0,3.0,6.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2019-03-26,bianco,smanicato
90326NE-19,2.0,11.0,9.0,5.0,4.0,1.0,2.0,5.0,1.0,0.0,1.0,0.0,2019-03-23,nero,smanicato
90337BBI-19,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-05-25,bianco,manica lunga
90337DFABI-19,1.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-05-19,fantasia,manica lunga
90388ZBI-19,1.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-05-19,bianco,gitana
904FAGR-17,1.0,8.0,16.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-11-11,fantasia,spolver lungo
90500RO-19,1.0,10.0,11.0,7.0,5.0,6.0,6.0,3.0,1.0,3.0,0.0,0.0,2019-03-30,rosso,tubino
90563CFANE-19,38.0,37.0,25.0,31.0,39.0,42.0,25.0,15.0,4.0,0.0,0.0,0.0,2019-04-01,fantasia,bambolina
9057AINE-19,2.0,12.0,15.0,10.0,10.0,15.0,12.0,4.0,5.0,2.0,3.0,2.0,2019-09-05,nero,manica lunga
90592FABI-19,3.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-05-17,fantasia,bambolina
90655FABI-19,1.0,11.0,17.0,14.0,12.0,2.0,12.0,8.0,4.0,91.0,69.0,42.0,2019-06-02,fantasia,fantasia
90655FANE-19,1.0,3.0,13.0,15.0,9.0,11.0,11.0,9.0,5.0,96.0,66.0,52.0,2019-06-02,fantasia,fantasia
90682AZ-19,1.0,4.0,4.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-05-03,azzurro,manica lunga
90682BI-19,2.0,9.0,4.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-05-04,bianco,manica lunga
90682GI-19,9.0,11.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-05-06,giallo,manica lunga
90682NE-19,4.0,8.0,15.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-05-03,nero,manica lunga
90683NE-19,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-05-24,nero,smanicato
90696FA-19,7.0,11.0,2.0,5.0,6.0,7.0,7.0,61.0,73.0,49.0,24.0,21.0,2019-06-26,fantasia,gitana
90697BI-19,1.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-05-18,bianco,smanicato
90697NE-19,3.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-05-17,nero,smanicato
90697RO-19,2.0,17.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-05-18,rosso,smanicato
90697RS-19,6.0,14.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-05-17,rosa,smanicato
90711ABI-19,1.0,8.0,8.0,7.0,7.0,3.0,8.0,2.0,1.0,1.0,0.0,0.0,2019-08-03,bianco,manica corta
90711AVM-19,3.0,13.0,12.0,10.0,13.0,8.0,6.0,1.0,3.0,0.0,0.0,0.0,2019-08-03,verde militare,manica corta
90712FABL-19,1.0,5.0,1.0,1.0,2.0,1.0,2.0,4.0,1.0,3.0,1.0,5.0,2018-12-20,fantasia,fantasia
90712FARS-19,1.0,16.0,6.0,6.0,7.0,8.0,4.0,4.0,3.0,2.0,2.0,1.0,2018-12-16,fantasia,fantasia
90721SBVM-19,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-05-17,verde militare,shorts
90722AFA-19,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-05-20,fantasia,pantalone lungo
90722SBVM-19,2.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-05-16,verde militare,pantalone lungo
90722ZFABE-19,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-05-19,fantasia,pantalone lungo
90786FA-19,3.0,16.0,17.0,13.0,8.0,8.0,21.0,8.0,146.0,91.0,49.0,30.0,2019-06-21,fantasia,lungo
9080AINE-19,9.0,25.0,14.0,22.0,28.0,34.0,24.0,28.0,23.0,99.0,0.0,0.0,2019-09-26,nero,bambolina
9080AISE-19,12.0,30.0,19.0,40.0,37.0,33.0,25.0,22.0,19.0,77.0,0.0,0.0,2019-09-26,senape,bambolina
9082AINE-19,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,17.0,16.0,15.0,2019-08-03,nero,manica lunga
9082AISE-19,4.0,20.0,12.0,17.0,11.0,19.0,9.0,8.0,8.0,23.0,0.0,0.0,2019-09-26,senape,manica lunga
9096NE-19,1.0,13.0,8.0,4.0,7.0,13.0,16.0,13.0,18.0,4.0,3.0,2.0,2019-03-10,nero,manica lunga
91018AST04FANE-19,6.0,16.0,19.0,12.0,11.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,2019-08-13,fantasia,bambolina
91018AST05FANE-19,6.0,9.0,14.0,10.0,9.0,5.0,2.0,2.0,0.0,0.0,2.0,1.0,2019-08-14,fantasia,bambolina
91018ST02FANE-19,17.0,39.0,38.0,48.0,62.0,42.0,40.0,41.0,22.0,8.0,3.0,1.0,2019-07-11,fantasia,bambolina
91019ST01FANE-19,12.0,11.0,17.0,13.0,18.0,19.0,22.0,7.0,2.0,2.0,6.0,0.0,2019-08-12,fantasia,bambolina
91022ST02FANE-19,8.0,18.0,27.0,18.0,22.0,15.0,11.0,22.0,19.0,11.0,10.0,4.0,2019-07-11,fantasia,smanicato
91023CST01FANE-19,1.0,11.0,12.0,15.0,15.0,9.0,11.0,11.0,1.0,2.0,0.0,4.0,2019-08-09,fantasia,manica lunga
91025ST02FANE-19,24.0,65.0,25.0,50.0,80.0,74.0,93.0,45.0,37.0,20.0,14.0,25.0,2019-07-11,fantasia,lungo
910951NE-18,4.0,10.0,5.0,137.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-11-02,nero,manica lunga
910952NE-18,3.0,25.0,3.0,75.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-11-02,nero,manica lunga
910953NE-18,2.0,9.0,6.0,73.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-11-03,nero,cardigan corto
91097FANE-19,13.0,22.0,14.0,5.0,13.0,19.0,19.0,12.0,1.0,0.0,1.0,3.0,2019-07-15,fantasia,bambolina
91123BE-19,3.0,3.0,3.0,11.0,9.0,5.0,5.0,9.0,4.0,1.0,0.0,0.0,2019-08-13,beige,tinta unita
91123NE-19,5.0,10.0,4.0,7.0,10.0,7.0,2.0,1.0,1.0,1.0,0.0,0.0,2019-08-19,nero,tinta unita
91123RS-19,2.0,5.0,7.0,4.0,8.0,11.0,5.0,1.0,4.0,0.0,0.0,0.0,2019-08-25,rosa,tinta unita
91153ST06FANE-19,16.0,13.0,20.0,4.0,5.0,3.0,6.0,3.0,2.0,2.0,0.0,0.0,2019-07-09,fantasia,lungo
91153ST06RO-19,14.0,19.0,13.0,11.0,13.0,7.0,3.0,3.0,1.0,0.0,1.0,2.0,2019-07-09,rosso,lungo
91153ST06RS-19,3.0,12.0,15.0,9.0,11.0,9.0,6.0,6.0,5.0,3.0,1.0,0.0,2019-07-12,rosa,lungo
91156ST08FANE-19,2.0,10.0,13.0,8.0,7.0,9.0,1.0,2.0,0.0,0.0,0.0,0.0,2019-08-31,fantasia,smanicato
91173CST03FA-19,2.0,8.0,9.0,14.0,12.0,7.0,5.0,4.0,2.0,0.0,0.0,0.0,2019-07-26,fantasia,pantalone lungo
91177ST03FA-19,11.0,10.0,11.0,5.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,2019-07-29,fantasia,chemisier
91178CST03FA-19,2.0,7.0,12.0,6.0,10.0,11.0,5.0,5.0,1.0,1.0,2.0,2.0,2019-07-28,fantasia,manica lunga
91190FANE-19,7.0,13.0,16.0,18.0,12.0,17.0,7.0,12.0,6.0,1.0,3.0,1.0,2019-08-09,fantasia,trapezio
91200ST07FANE-19,6.0,5.0,12.0,5.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2019-09-02,fantasia,manica corta
91202AST04FANE-19,1.0,5.0,2.0,3.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,2019-08-16,fantasia,smanicato
91202AST05FANE-19,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-08-23,fantasia,smanicato
91203ST07FANE-19,1.0,4.0,5.0,4.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,2019-08-31,fantasia,bambolina
91252ST07FANE-19,3.0,13.0,7.0,7.0,6.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,2019-08-30,fantasia,bambolina
91252ST08FANE-19,1.0,11.0,29.0,21.0,18.0,3.0,8.0,7.0,2.0,6.0,2.0,1.0,2019-08-31,fantasia,bambolina
912DIORCADYNE-19,11.0,7.0,3.0,8.0,9.0,7.0,9.0,11.0,11.0,3.0,5.0,5.0,2019-01-08,nero,pantalone lungo
9143GA30034VBI-18,1.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,6.0,1.0,4.0,2.0,2018-02-03,bianco,stampa
9143GA30034VNE-18,4.0,1.0,0.0,1.0,1.0,3.0,8.0,16.0,21.0,9.0,9.0,6.0,2018-02-01,nero,stampa
9143GA52034VBI-18,1.0,1.0,1.0,2.0,0.0,0.0,0.0,9.0,12.0,18.0,14.0,15.0,2018-01-24,bianco,stampa
9143GA52034VNE-18,2.0,3.0,3.0,3.0,2.0,0.0,6.0,32.0,45.0,28.0,42.0,20.0,2018-01-25,nero,stampa
9169BI-19,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-05-18,bianco,manica corta
9169FANE-19,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-05-26,fantasia,manica corta
9170CACHFABI-19,1.0,12.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-05-19,fantasia,manica lunga
9170FIOREFABI-19,4.0,14.0,22.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-05-11,fantasia,manica lunga
9170RIGAFA-19,2.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-05-12,fantasia,manica lunga
918030MV-18,9.0,22.0,21.0,15.0,15.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-04-27,maldive,smanicato
918031MV-18,3.0,20.0,9.0,9.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-04-24,maldive,maxi
918031NE-18,1.0,7.0,10.0,7.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-04-28,nero,maxi
922NE-19,1.0,14.0,12.0,11.0,18.0,7.0,4.0,3.0,1.0,5.0,3.0,1.0,2019-07-05,nero,pantalone lungo
92525BE-17,1.0,3.0,1.0,4.0,3.0,3.0,2.0,2.0,6.0,2.0,2.0,2.0,2017-07-14,beige,manica 3/4
928625GI-18,4.0,2.0,0.0,3.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-04-24,giallo,manica 3/4
928625RO-18,8.0,7.0,14.0,8.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-04-24,rosso,manica 3/4
929125IND-19,8.0,47.0,47.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-05-11,indaco,manica 3/4
929125NE-19,4.0,20.0,18.0,26.0,25.0,15.0,9.0,0.0,0.0,0.0,0.0,0.0,2019-04-18,nero,manica lunga
9291500NE-18,1.0,4.0,8.0,5.0,4.0,8.0,3.0,4.0,2.0,1.0,5.0,26.0,2018-09-06,nero,manica lunga
936625NE-18,1.0,9.0,7.0,8.0,10.0,2.0,0.0,1.0,1.0,3.0,5.0,3.0,2018-06-14,nero,manica lunga
944NE-19,5.0,11.0,11.0,11.0,9.0,8.0,3.0,4.0,46.0,31.0,35.0,27.0,2019-06-14,nero,pantalone lungo
9488FA-19,5.0,16.0,11.0,10.0,13.0,6.0,12.0,12.0,5.0,8.0,38.0,2.0,2019-06-14,fantasia,fantasia
95081NE-18,2.0,0.0,2.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0,37.0,2018-09-07,nero,manica lunga
95082NE-18,2.0,1.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,38.0,2018-09-04,nero,manica lunga
95161NE-19,9.0,12.0,3.0,11.0,4.0,6.0,23.0,0.0,0.0,0.0,0.0,0.0,2019-10-15,nero,capospalla  medio
95181NE-19,10.0,8.0,6.0,9.0,7.0,4.0,4.0,2.0,1.0,2.0,27.0,0.0,2019-09-17,nero,mini
95207BE-19,9.0,10.0,10.0,9.0,3.0,5.0,1.0,0.0,1.0,0.0,14.0,0.0,2019-09-18,beige,tinta unita
95207GR-19,5.0,16.0,7.0,9.0,7.0,4.0,2.0,5.0,0.0,0.0,24.0,0.0,2019-09-18,grigio,tinta unita
95227CM-19,2.0,17.0,19.0,8.0,3.0,10.0,8.0,1.0,2.0,33.0,0.0,0.0,2019-09-24,cammello,capospalla corto
95227NE-19,5.0,10.0,17.0,10.0,11.0,13.0,9.0,6.0,0.0,53.0,0.0,0.0,2019-09-26,nero,capospalla corto
95255ANE-19,3.0,5.0,10.0,3.0,5.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-23,nero,tinta unita
95255ARS-19,1.0,3.0,12.0,4.0,10.0,8.0,60.0,0.0,0.0,0.0,0.0,0.0,2019-10-19,rosa,tinta unita
95255GR-19,1.0,5.0,7.0,6.0,3.0,3.0,3.0,1.0,36.0,0.0,0.0,0.0,2019-10-06,grigio,tinta unita
95255NE-19,8.0,25.0,16.0,5.0,19.0,28.0,27.0,18.0,122.0,0.0,0.0,0.0,2019-10-04,nero,tinta unita
95255RO-19,2.0,5.0,4.0,4.0,5.0,11.0,10.0,6.0,32.0,0.0,0.0,0.0,2019-10-05,rosso,tinta unita
95389FA-19,2.0,5.0,15.0,4.0,4.0,3.0,50.0,0.0,0.0,0.0,0.0,0.0,2019-10-19,fantasia,trapezio
95557NE-19,2.0,2.0,3.0,7.0,3.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-24,nero,tinta unita
9646NE-19,3.0,8.0,7.0,5.0,4.0,5.0,4.0,51.0,63.0,57.0,33.0,14.0,2019-06-21,nero,tinta unita
965DIORCADYNE-19,17.0,13.0,13.0,22.0,9.0,6.0,7.0,8.0,11.0,13.0,12.0,16.0,2019-01-21,nero,manica lunga
9681BE-19,6.0,2.0,3.0,2.0,1.0,2.0,0.0,4.0,15.0,9.0,4.0,5.0,2019-07-08,beige,tinta unita
9681NE-19,8.0,7.0,4.0,6.0,13.0,6.0,5.0,3.0,25.0,19.0,5.0,5.0,2019-07-09,nero,tinta unita
9681VM-19,1.0,8.0,3.0,3.0,3.0,6.0,1.0,3.0,14.0,7.0,2.0,5.0,2019-07-09,verde militare,tinta unita
9685BE-19,5.0,9.0,6.0,10.0,9.0,3.0,6.0,3.0,5.0,4.0,0.0,1.0,2019-07-10,beige,tinta unita
9726NE-17,1.0,6.0,6.0,4.0,21.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,2017-10-21,nero,capospalla lungo
9759NE-17,3.0,2.0,3.0,4.0,4.0,18.0,43.0,42.0,41.0,30.0,28.0,30.0,2017-02-07,nero,pantalone lungo
977GI-17,3.0,8.0,3.0,3.0,5.0,3.0,6.0,3.0,3.0,4.0,2.0,1.0,2016-12-07,giallo,manica lunga
977GR-17,4.0,8.0,6.0,1.0,8.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,2016-12-06,grigio,manica lunga
977VM-17,1.0,4.0,11.0,12.0,3.0,2.0,3.0,1.0,5.0,3.0,4.0,1.0,2016-12-03,verde militare,manica lunga
97903PL5NE-17,3.0,1.0,3.0,2.0,2.0,1.0,2.0,2.0,4.0,1.0,0.0,0.0,2017-07-12,nero,tinta unita
97903PL5OR-17,10.0,3.0,3.0,2.0,4.0,3.0,4.0,1.0,1.0,5.0,6.0,2.0,2017-07-12,oro,tinta unita
9800NE-17,1.0,4.0,5.0,7.0,2.0,5.0,8.0,5.0,2.0,4.0,2.0,1.0,2017-02-08,nero,manica lunga
980DIORNE-19,6.0,5.0,4.0,1.0,9.0,2.0,2.0,1.0,63.0,0.0,0.0,0.0,2019-10-04,nero,trapezio
980DIORSE-19,9.0,15.0,6.0,5.0,12.0,2.0,2.0,0.0,65.0,0.0,0.0,0.0,2019-09-30,senape,trapezio
98529CNE-17,8.0,11.0,4.0,6.0,5.0,3.0,9.0,2.0,0.0,0.0,0.0,0.0,2017-10-11,nero,manica lunga
9901RO-19,7.0,29.0,25.0,19.0,16.0,21.0,24.0,17.0,15.0,12.0,12.0,62.0,2019-09-12,rosso,tubino
9902NE-19,8.0,18.0,15.0,16.0,10.0,14.0,12.0,4.0,9.0,2.0,3.0,42.0,2019-09-12,nero,tubino
A01BX-17,2.0,1.0,3.0,2.0,0.0,7.0,12.0,13.0,1.0,4.0,14.0,0.0,2017-09-14,bordeaux,manica lunga
A01NE-17,1.0,2.0,1.0,4.0,4.0,2.0,48.0,41.0,44.0,23.0,23.0,51.0,2017-09-09,nero,manica lunga
A026NE-17,4.0,13.0,9.0,5.0,7.0,6.0,8.0,8.0,9.0,5.0,8.0,0.0,2017-09-12,panna,capospalla corto
A026VE-17,4.0,7.0,3.0,5.0,3.0,3.0,2.0,6.0,2.0,1.0,6.0,1.0,2017-09-16,verde,capospalla corto
A02BX-17,1.0,4.0,2.0,4.0,2.0,0.0,27.0,25.0,27.0,18.0,7.0,33.0,2017-09-07,bordeaux,manica lunga
A02NE-17,1.0,4.0,13.0,11.0,7.0,5.0,5.0,5.0,2.0,4.0,1.0,1.0,2017-09-03,nero,manica lunga
A03BX-17,1.0,1.0,5.0,5.0,3.0,2.0,3.0,41.0,42.0,26.0,15.0,5.0,2017-09-03,bordeaux,manica lunga
A03NE-17,7.0,19.0,28.0,13.0,6.0,7.0,5.0,1.0,2.0,4.0,0.0,2.0,2017-09-05,nero,manica lunga
A04BE-17,5.0,6.0,10.0,2.0,4.0,6.0,2.0,1.0,2.0,0.0,0.0,0.0,2017-09-28,beige,manica lunga
A04NE-17,1.0,0.0,4.0,4.0,8.0,5.0,5.0,6.0,4.0,6.0,2.0,0.0,2017-09-23,nero,manica lunga
A04RS-17,1.0,5.0,10.0,16.0,7.0,6.0,6.0,5.0,5.0,4.0,1.0,0.0,2017-09-23,rosa,manica lunga
A05BE-17,2.0,3.0,5.0,3.0,5.0,2.0,4.0,2.0,2.0,5.0,0.0,0.0,2017-09-22,beige,manica lunga
A05NE-17,1.0,3.0,9.0,5.0,13.0,4.0,4.0,4.0,4.0,6.0,2.0,0.0,2017-09-23,nero,manica lunga
A07CL-17,1.0,2.0,6.0,5.0,2.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,2017-10-20,cielo,manica lunga
A07GR-17,1.0,0.0,4.0,4.0,1.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,2017-10-22,grigio,manica lunga
A08NE-17,3.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-11-09,nero,manica lunga
A08PA-17,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-11-12,panna,manica lunga
A09GR-17,3.0,6.0,3.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-10-31,grigio,manica lunga
A09NE-17,1.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-10-29,nero,manica lunga
A10NE-19,17.0,12.0,15.0,18.0,18.0,11.0,6.0,6.0,1.0,4.0,1.0,0.0,2019-03-12,nero,pantalone lungo
A1128NE-17,5.0,2.0,3.0,6.0,2.0,1.0,7.0,9.0,14.0,18.0,4.0,0.0,2017-09-19,nero,capospalla corto
A1128PA-17,3.0,3.0,4.0,6.0,4.0,2.0,6.0,6.0,6.0,16.0,1.0,0.0,2017-09-19,panna,capospalla corto
A1129NE-17,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-11-27,nero,capospalla lungo
A1130NE-17,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-11-25,nero,capospalla  medio
A1140RS-18,2.0,33.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-11-17,rosa,capospalla  medio
A11OR-19,30.0,18.0,15.0,18.0,9.0,12.0,2.0,1.0,0.0,0.0,0.0,0.0,2019-04-08,oro,manica lunga
A12NE-19,1.0,7.0,8.0,8.0,7.0,15.0,6.0,4.0,5.0,3.0,5.0,2.0,2019-03-09,nero,manica lunga
A14NE-19,1.0,1.0,1.0,2.0,5.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,2019-04-02,nero,manica lunga
A15NE-19,1.0,15.0,13.0,14.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-05-05,nero,manica lunga
A1619NE-17,1.0,0.0,0.0,1.0,13.0,14.0,14.0,7.0,5.0,6.0,3.0,2.0,2017-02-03,nero,capospalla corto
A16BI-19,6.0,20.0,24.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-05-10,bianco,manica lunga
A17BI-19,1.0,12.0,20.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-05-12,bianco,pantalone lungo
A18177NE-19,16.0,9.0,8.0,16.0,6.0,7.0,6.0,4.0,8.0,0.0,0.0,0.0,2019-10-02,nero,manica lunga
A18178NE-19,3.0,8.0,15.0,4.0,12.0,12.0,7.0,8.0,6.0,5.0,5.0,3.0,2019-08-10,nero,manica lunga
A19236FANE-18,3.0,8.0,0.0,1.0,41.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-10-24,fantasia,pantalone lungo
A19353FANE-18,5.0,4.0,4.0,3.0,1.0,63.0,6.0,0.0,0.0,0.0,0.0,0.0,2018-10-15,fantasia,smanicato
A1NE-19,2.0,11.0,5.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2019-02-27,nero,bambolina
A1RO-18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,2.0,7.0,2018-06-17,rosso,manica lunga
A1VE-19,3.0,3.0,5.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,2019-02-23,verde,bambolina
A29885J7FA-19,3.0,13.0,15.0,23.0,15.0,23.0,17.0,10.0,3.0,5.0,6.0,5.0,2019-08-30,fantasia,trapezio
A2FA-18,7.0,13.0,14.0,10.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-07-31,fantasia,manica lunga
A2GR-19,1.0,3.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-02-10,grigio,capospalla  medio
A2NE-19,1.0,11.0,9.0,6.0,11.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,2019-02-09,nero,capospalla  medio
A3005E17NE-17,1.0,2.0,4.0,4.0,5.0,1.0,3.0,5.0,2.0,4.0,2.0,2.0,2017-07-20,nero,tuta
A3012905A79NE-17,7.0,11.0,4.0,4.0,8.0,3.0,3.0,2.0,0.0,1.0,1.0,0.0,2017-08-22,nero,bambolina
A3016E17NE-17,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-02-22,nero,tuta
